exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC-7APR23-28500-C,2023-04-01 00:00:00.361,2023-04-01 00:00:00.372373,call,28500,2023-04-07 08:00:00,1053.3,0.0295,0.0285,24.0,53.58,0.0295,15.3,55.49,0.029,54.49,BTC-7APR23,28520.38,0.51828,0.00019,14.97196,-64.41017,2.42145
deribit,BTC-21APR23-28500-C,2023-04-01 00:00:00.369,2023-04-01 00:00:00.381094,call,28500,2023-04-21 08:00:00,15.6,0.0525,0.0525,5.0,54.47,0.0535,13.1,55.54,0.0532,55.27,SYN.BTC-21APR23,28574.385,0.53395,0.00011,26.80824,-36.43446,7.65189
deribit,BTC-28APR23-28000-C,2023-04-01 00:00:01.428,2023-04-01 00:00:01.433309,call,28000,2023-04-28 08:00:00,3833.4,0.072,0.069,12.9,53.69,0.0705,6.0,55.1,0.0706,55.23,BTC-28APR23,28597.9,0.58526,9e-05,30.5051,-30.82105,11.02083
deribit,BTC-28APR23-28000-C,2023-04-01 00:00:01.572,2023-04-01 00:00:01.582011,call,28000,2023-04-28 08:00:00,3833.4,0.072,0.069,12.9,53.69,0.071,17.0,55.57,0.0706,55.23,BTC-28APR23,28597.9,0.58526,9e-05,30.5051,-30.82105,11.02083
deribit,BTC-7APR23-28500-P,2023-04-01 00:00:01.660,2023-04-01 00:00:01.665458,put,28500,2023-04-07 08:00:00,612.8,0.0255,0.028,5.1,54.0,0.029,10.3,55.91,0.0283,54.49,BTC-7APR23,28520.69,-0.48165,0.00019,14.97202,-64.41148,-2.52346
deribit,BTC-21APR23-28500-P,2023-04-01 00:00:01.672,2023-04-01 00:00:01.675436,put,28500,2023-04-21 08:00:00,23.1,0.0495,0.0505,5.0,55.12,0.052,50.9,56.72,0.0506,55.27,SYN.BTC-21APR23,28574.68,-0.46602,0.00011,26.80834,-36.43423,-8.22431
deribit,BTC-14APR23-28500-P,2023-04-01 00:00:01.672,2023-04-01 00:00:01.681273,put,28500,2023-04-14 08:00:00,101.6,0.0405,0.0415,9.5,55.67,0.043,51.4,57.64,0.0419,56.14,BTC-14APR23,28551.12,-0.47196,0.00013,21.71608,-45.71429,-5.35888
deribit,BTC-14APR23-29000-P,2023-04-01 00:00:01.686,2023-04-01 00:00:01.694973,put,29000,2023-04-14 08:00:00,32.9,0.0565,0.0515,5.0,56.22,0.053,15.6,58.2,0.0518,56.64,BTC-14APR23,28551.12,-0.53585,0.00013,21.68195,-46.05256,-6.12911
deribit,BTC-1APR23-28500-P,2023-04-01 00:00:02.272,2023-04-01 00:00:02.279748,put,28500,2023-04-01 08:00:00,53.8,0.004,0.004,11.2,29.37,0.0055,5.6,41.85,0.0051,38.89,SYN.BTC-1APR23,28474.9226,-0.52752,0.00119,3.42476,-66.58829,-0.13852
deribit,BTC-14APR23-28000-C,2023-04-01 00:00:02.379,2023-04-01 00:00:02.389495,call,28000,2023-04-14 08:00:00,181.7,0.0545,0.0515,3.5,54.5,0.061,14.0,67.28,0.0529,56.4,BTC-14APR23,28551.05,0.59277,0.00013,21.17848,-44.79473,5.63054
