exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC-11AUG23-29500-P,2023-08-01 00:00:01.241,2023-08-01 00:00:01.250634,put,29500,2023-08-11 08:00:00,150.6,0.0255,0.024,40.3,29.49,0.0255,19.3,31.75,0.0249,30.81,BTC-11AUG23,29272.5,-0.54912,0.00026,19.50001,-29.06677,-4.75681
deribit,BTC-25AUG23-29000-C,2023-08-01 00:00:01.242,2023-08-01 00:00:01.484813,call,29000,2023-08-25 08:00:00,1301.8,0.0385,0.038,18.8,31.67,0.0395,45.9,33.14,0.0387,32.39,BTC-25AUG23,29309.99,0.56708,0.00016,29.76333,-19.80879,10.32396
deribit,BTC-18AUG23-29000-C,2023-08-01 00:00:01.244,2023-08-01 00:00:01.269338,call,29000,2023-08-18 08:00:00,8.7,0.035,0.0315,7.7,30.33,0.0325,35.4,31.5,0.0319,30.83,SYN.BTC-18AUG23,29291.25,0.57234,0.0002,25.04509,-22.27088,7.51719
deribit,BTC-11AUG23-29000-C,2023-08-01 00:00:01.247,2023-08-01 00:00:01.258967,call,29000,2023-08-11 08:00:00,113.3,0.026,0.025,41.1,29.94,0.026,28.4,31.46,0.0257,30.99,BTC-11AUG23,29272.49,0.58138,0.00026,19.2389,-28.85066,4.6051
deribit,BTC-18AUG23-29500-P,2023-08-01 00:00:01.250,2023-08-01 00:00:01.293519,put,29500,2023-08-18 08:00:00,88.4,0.0295,0.0295,40.6,29.55,0.031,19.4,31.28,0.0304,30.55,SYN.BTC-18AUG23,29291.25,-0.52925,0.0002,25.39647,-22.38115,-7.7842
deribit,BTC-2AUG23-29250-P,2023-08-01 00:00:02.247,2023-08-01 00:00:02.258579,put,29250,2023-08-02 08:00:00,15.6,0.0075,0.0065,20.5,25.98,0.0075,22.7,30.13,0.007,27.88,SYN.BTC-2AUG23,29236.492,-0.50758,0.00081,7.04823,-73.67668,-0.54952
deribit,BTC-3AUG23-29250-P,2023-08-01 00:00:02.250,2023-08-01 00:00:02.271407,put,29250,2023-08-03 08:00:00,52.7,0.0105,0.009,24.1,27.78,0.01,18.3,30.92,0.0094,29.15,SYN.BTC-3AUG23,29241.991,-0.50004,0.00059,9.32736,-58.26974,-0.95239
deribit,BTC-1AUG23-29250-P,2023-08-01 00:00:05.274,2023-08-01 00:00:05.292315,put,29250,2023-08-01 08:00:00,98.8,0.0033,0.0028,2.5,20.41,0.0034,1.0,25.41,0.0031,22.92,SYN.BTC-1AUG23,29231.0038,-0.53599,0.00196,3.50974,-40.2197,-0.14391
deribit,BTC-3AUG23-29250-P,2023-08-01 00:00:06.267,2023-08-01 00:00:06.275917,put,29250,2023-08-03 08:00:00,52.7,0.0105,0.0095,0.7,29.35,0.01,18.3,30.91,0.0094,29.15,SYN.BTC-3AUG23,29241.9679,-0.50005,0.00059,9.32736,-58.26464,-0.95241
deribit,BTC-1AUG23-29250-P,2023-08-01 00:00:07.004,2023-08-01 00:00:07.008256,put,29250,2023-08-01 08:00:00,98.8,0.0033,0.0026,21.9,18.74,0.0034,0.2,25.4,0.0031,22.92,SYN.BTC-1AUG23,29230.9637,-0.53607,0.00196,3.50967,-40.22107,-0.14393
deribit,BTC-1AUG23-29250-P,2023-08-01 00:00:07.006,2023-08-01 00:00:07.013977,put,29250,2023-08-01 08:00:00,98.8,0.0033,0.0027,5.0,19.57,0.0034,0.2,25.4,0.0031,22.92,SYN.BTC-1AUG23,29230.9637,-0.53607,0.00196,3.50967,-40.22107,-0.14393
deribit,BTC-11AUG23-29500-P,2023-08-01 00:00:11.646,2023-08-01 00:00:11.658265,put,29500,2023-08-11 08:00:00,150.6,0.0255,0.0245,7.9,30.18,0.0255,18.9,31.68,0.0249,30.8,BTC-11AUG23,29270.36,-0.54969,0.00026,19.49513,-29.05685,-4.76147
deribit,BTC-25AUG23-29000-C,2023-08-01 00:00:16.990,2023-08-01 00:00:16.999510,call,29000,2023-08-25 08:00:00,1301.8,0.0385,0.038,18.4,31.69,0.039,24.0,32.68,0.0387,32.38,BTC-25AUG23,29308.71,0.56688,0.00016,29.76459,-19.80637,10.32016
deribit,BTC-1AUG23-29250-P,2023-08-01 00:00:40.570,2023-08-01 00:00:40.579533,put,29250,2023-08-01 08:00:00,98.8,0.0033,0.0027,5.0,19.06,0.0035,0.3,25.75,0.0032,22.88,SYN.BTC-1AUG23,29227.6144,-0.54276,0.00196,3.49977,-40.03737,-0.14541
deribit,BTC-1AUG23-29250-P,2023-08-01 00:01:09.340,2023-08-01 00:01:09.349439,put,29250,2023-08-01 08:00:00,98.8,0.0033,0.0028,3.6,19.54,0.0035,0.3,25.4,0.0032,22.86,SYN.BTC-1AUG23,29225.381,-0.5472,0.00196,3.49507,-39.94021,-0.14659
deribit,BTC-3AUG23-29250-C,2023-08-01 00:01:44.976,2023-08-01 00:01:44.999169,call,29250,2023-08-03 08:00:00,3.4,0.0095,0.0085,26.0,27.07,0.0095,34.4,30.21,0.0092,29.22,SYN.BTC-3AUG23,29242.0945,0.50004,0.00058,9.32462,-58.41214,0.91704
deribit,BTC-1AUG23-29250-P,2023-08-01 00:02:01.509,2023-08-01 00:02:01.516100,put,29250,2023-08-01 08:00:00,98.8,0.0033,0.0028,1.8,19.98,0.0033,0.5,24.16,0.0031,22.72,SYN.BTC-1AUG23,29227.9666,-0.54244,0.00198,3.49646,-39.71204,-0.14502
deribit,BTC-2AUG23-29250-P,2023-08-01 00:02:18.997,2023-08-01 00:02:19.007508,put,29250,2023-08-02 08:00:00,18.1,0.0065,0.0065,18.0,25.94,0.007,0.2,28.02,0.007,27.83,SYN.BTC-2AUG23,29235.7698,-0.50819,0.00081,7.04417,-73.58784,-0.54959
deribit,BTC-18AUG23-29000-C,2023-08-01 00:02:52.872,2023-08-01 00:02:52.881312,call,29000,2023-08-18 08:00:00,8.7,0.035,0.031,40.4,29.78,0.0325,43.1,31.53,0.0319,30.78,SYN.BTC-18AUG23,29289.59,0.57208,0.0002,25.04521,-22.24115,7.51319
deribit,BTC-1AUG23-29250-P,2023-08-01 00:03:36.172,2023-08-01 00:03:36.182085,put,29250,2023-08-01 08:00:00,98.8,0.0033,0.0027,12.3,19.41,0.0033,0.5,24.44,0.0031,22.38,SYN.BTC-1AUG23,29229.4352,-0.54024,0.00202,3.49131,-39.07129,-0.14382
deribit,BTC-3AUG23-29250-C,2023-08-01 00:04:18.050,2023-08-01 00:04:18.069798,call,29250,2023-08-03 08:00:00,3.7,0.0085,0.009,0.6,28.63,0.0095,39.3,30.19,0.0092,29.16,SYN.BTC-3AUG23,29242.5728,0.5003,0.00059,9.32199,-58.32425,0.91702
