exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC-2MAY20-8625-C,2020-04-30 23:59:58.828,2020-05-01 00:00:00.242033,call,8625,2020-05-02 08:00:00,0.5,0.042,0.019,34.3,77.0,0.024,0.2,97.75,0.0214716,87.24,SYN.BTC-2MAY20,8632.62,0.5172,0.00088,2.07956,-68.03338,0.15633
deribit,BTC-8MAY20-8500-C,2020-04-30 23:59:59.053,2020-05-01 00:00:00.239915,call,8500,2020-05-08 08:00:00,367.7,0.0545,0.0485,0.5,71.36,0.052,0.5,77.68,0.05202773,77.72,SYN.BTC-8MAY20,8637.9,0.57971,0.00041,4.78669,-25.3658,0.91579
deribit,BTC-8MAY20-8750-P,2020-04-30 23:59:59.695,2020-05-01 00:00:00.239896,put,8750,2020-05-08 08:00:00,205.7,0.04,0.0495,44.1,74.89,0.053,28.9,81.09,0.05110411,77.9,SYN.BTC-8MAY20,8636.49,-0.52514,0.00042,4.87403,-25.88758,-1.00005
deribit,BTC-15MAY20-8500-C,2020-04-30 23:59:59.850,2020-05-01 00:00:00.248636,call,8500,2020-05-15 08:00:00,10.8,0.0745,0.0665,28.7,73.88,0.0715,10.0,80.32,0.06997698,78.25,SYN.BTC-15MAY20,8642.64,0.57333,0.00029,6.71682,-18.33484,1.70861
deribit,BTC-2MAY20-8625-P,2020-04-30 23:59:59.902,2020-05-01 00:00:00.242024,put,8625,2020-05-02 08:00:00,21.2,0.0145,0.0195,47.1,82.39,0.022,15.0,92.77,0.02067236,87.25,SYN.BTC-2MAY20,8631.21,-0.48404,0.00088,2.07949,-68.04158,-0.15913
deribit,BTC-29MAY20-9000-P,2020-04-30 23:59:59.903,2020-05-01 00:00:00.242152,put,9000,2020-05-29 08:00:00,177.4,0.11,0.108,11.9,76.55,0.1115,1.0,79.71,0.10895463,77.42,SYN.BTC-29MAY20,8654.95,-0.52926,0.00021,9.59417,-13.1072,-4.2878
deribit,BTC-15MAY20-8750-P,2020-05-01 00:00:00.021,2020-05-01 00:00:00.248549,put,8750,2020-05-15 08:00:00,5.2,0.0735,0.0665,14.9,75.6,0.071,10.0,81.3,0.06827231,77.83,SYN.BTC-15MAY20,8642.64,-0.50116,0.0003,6.83254,-18.55143,-1.93259
deribit,BTC-29MAY20-8500-C,2020-05-01 00:00:00.114,2020-05-01 00:00:00.242162,call,8500,2020-05-29 08:00:00,402.4,0.0965,0.092,28.5,75.25,0.0955,5.5,78.46,0.09457123,77.62,SYN.BTC-29MAY20,8654.95,0.576,0.00021,9.44496,-12.93786,3.23434
deribit,BTC-8MAY20-8750-P,2020-05-01 00:00:00.348,2020-05-01 00:00:00.374891,put,8750,2020-05-08 08:00:00,205.7,0.04,0.0495,44.1,74.89,0.0535,28.8,81.98,0.05119916,77.9,SYN.BTC-8MAY20,8636.49,-0.52514,0.00042,4.87403,-25.88758,-1.00005
deribit,BTC-15MAY20-8750-P,2020-05-01 00:00:00.502,2020-05-01 00:00:00.504280,put,8750,2020-05-15 08:00:00,5.2,0.0735,0.067,13.1,76.24,0.071,10.0,81.3,0.06827231,77.83,SYN.BTC-15MAY20,8642.64,-0.50116,0.0003,6.83254,-18.55143,-1.93259
