exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC-11FEB22-38000-C,2022-02-01 00:00:00.430,2022-02-01 00:00:00.441975,call,38000,2022-02-11 08:00:00,303.4,0.049,0.047,6.0,61.02,0.0485,23.0,63.29,0.04716016,61.28,BTC-11FEB22,38463.32,0.56714,0.0001,25.45202,-75.47332,5.66193
deribit,BTC-11FEB22-39000-P,2022-02-01 00:00:02.752,2022-02-01 00:00:02.761961,put,39000,2022-02-11 08:00:00,4.5,0.05,0.0465,18.0,57.92,0.0485,6.0,60.91,0.04813841,60.37,BTC-11FEB22,38463.77,-0.53407,0.0001,25.72457,-75.14691,-6.33983
deribit,BTC-4FEB22-38000-C,2022-02-01 00:00:03.092,2022-02-01 00:00:03.107113,call,38000,2022-02-04 08:00:00,681.6,0.0315,0.0285,17.1,57.55,0.0305,12.1,62.96,0.02969359,60.77,BTC-4FEB22,38472.95,0.59562,0.00017,14.24427,-129.85383,1.98838
deribit,BTC-25FEB22-38000-C,2022-02-01 00:00:03.094,2022-02-01 00:00:03.106334,call,38000,2022-02-25 08:00:00,628.6,0.0705,0.07,9.1,61.65,0.0715,9.7,63.13,0.07041364,62.07,BTC-25FEB22,38520.86,0.56556,6e-05,39.142,-49.91868,12.71543
deribit,BTC-18FEB22-38000-C,2022-02-01 00:00:03.674,2022-02-01 00:00:03.683560,call,38000,2022-02-18 08:00:00,48.9,0.061,0.0595,6.0,61.24,0.061,18.0,62.99,0.05966378,61.43,SYN.BTC-18FEB22,38492.01,0.56475,8e-05,33.02202,-58.51743,9.23273
deribit,BTC-25FEB22-39000-P,2022-02-01 00:00:06.113,2022-02-01 00:00:06.121264,put,39000,2022-02-25 08:00:00,1.1,0.07,0.0685,35.7,59.95,0.0705,15.6,61.9,0.07009076,61.5,BTC-25FEB22,38520.52,-0.49941,7e-05,39.67858,-50.13949,-14.62489
deribit,BTC-25FEB22-39000-P,2022-02-01 00:00:15.748,2022-02-01 00:00:15.754823,put,39000,2022-02-25 08:00:00,1.1,0.07,0.0685,35.7,59.94,0.071,46.8,62.37,0.0701039,61.5,BTC-25FEB22,38519.86,-0.49945,7e-05,39.6779,-50.14167,-14.626
deribit,BTC-4FEB22-38000-C,2022-02-01 00:00:15.752,2022-02-01 00:00:15.760926,call,38000,2022-02-04 08:00:00,681.6,0.0315,0.0285,5.1,57.6,0.03,12.0,61.65,0.02969059,60.79,BTC-4FEB22,38471.86,0.59541,0.00017,14.24569,-129.89611,1.98764
deribit,BTC-25FEB22-39000-C,2022-02-01 00:00:15.767,2022-02-01 00:00:15.778076,call,39000,2022-02-25 08:00:00,105.8,0.0565,0.057,10.5,60.88,0.0585,43.6,62.34,0.05763916,61.5,BTC-25FEB22,38519.86,0.50055,7e-05,39.6779,-50.14167,11.374
deribit,BTC-11FEB22-39000-P,2022-02-01 00:00:15.774,2022-02-01 00:00:15.780081,put,39000,2022-02-11 08:00:00,4.5,0.05,0.047,17.9,58.66,0.049,48.9,61.65,0.04815067,60.38,BTC-11FEB22,38463.15,-0.53413,0.0001,25.72384,-75.15057,-6.34049
deribit,BTC-25FEB22-39000-P,2022-02-01 00:00:15.977,2022-02-01 00:00:16.044023,put,39000,2022-02-25 08:00:00,1.1,0.07,0.069,27.0,60.43,0.071,19.8,62.37,0.0701039,61.5,BTC-25FEB22,38519.86,-0.49945,7e-05,39.6779,-50.14167,-14.626
deribit,BTC-4FEB22-38000-C,2022-02-01 00:00:16.201,2022-02-01 00:00:16.211673,call,38000,2022-02-04 08:00:00,681.6,0.0315,0.028,15.1,56.28,0.03,12.0,61.69,0.02969059,60.79,BTC-4FEB22,38470.97,0.59526,0.00017,14.24672,-129.90559,1.9871
deribit,BTC-18FEB22-38000-C,2022-02-01 00:00:24.066,2022-02-01 00:00:24.073159,call,38000,2022-02-18 08:00:00,48.9,0.061,0.059,10.4,60.83,0.061,23.0,63.16,0.05957101,61.49,SYN.BTC-18FEB22,38481.24,0.56392,8e-05,33.02409,-58.57442,9.21664
deribit,BTC-11FEB22-38000-C,2022-02-01 00:00:25.223,2022-02-01 00:00:25.231180,call,38000,2022-02-11 08:00:00,303.4,0.049,0.0465,10.8,60.49,0.048,7.0,62.75,0.04703898,61.3,BTC-11FEB22,38452.44,0.56605,0.0001,25.45661,-75.5076,5.64999
deribit,BTC-11FEB22-39000-P,2022-02-01 00:00:27.232,2022-02-01 00:00:27.241145,put,39000,2022-02-11 08:00:00,4.5,0.05,0.0475,26.0,58.8,0.049,10.9,61.05,0.0483941,60.39,BTC-11FEB22,38436.75,-0.5368,0.0001,25.69079,-75.06606,-6.36966
deribit,BTC-18FEB22-38000-C,2022-02-01 00:00:28.218,2022-02-01 00:00:28.223192,call,38000,2022-02-18 08:00:00,48.9,0.061,0.059,10.4,61.08,0.0605,8.0,62.83,0.05935582,61.49,SYN.BTC-18FEB22,38464.69,0.56266,8e-05,33.02679,-58.58412,9.19343
deribit,BTC-25FEB22-39000-P,2022-02-01 00:00:28.327,2022-02-01 00:00:28.333713,put,39000,2022-02-25 08:00:00,1.1,0.07,0.069,27.0,59.95,0.0715,42.6,62.37,0.07054832,61.51,BTC-25FEB22,38486.36,-0.50162,7e-05,39.64311,-50.10712,-14.6821
deribit,BTC-25FEB22-38000-C,2022-02-01 00:00:29.667,2022-02-01 00:00:29.677385,call,38000,2022-02-25 08:00:00,628.6,0.0705,0.07,9.1,62.14,0.071,9.6,63.12,0.06996372,62.1,BTC-25FEB22,38482.1,0.56309,6e-05,39.14241,-49.94881,12.65099
deribit,BTC-4FEB22-38000-C,2022-02-01 00:00:30.708,2022-02-01 00:00:30.712799,call,38000,2022-02-04 08:00:00,681.6,0.0315,0.028,3.1,57.74,0.0295,12.0,61.77,0.02913583,60.77,BTC-4FEB22,38434.55,0.58894,0.00017,14.28726,-130.24143,1.96495
deribit,BTC-25FEB22-38000-C,2022-02-01 00:00:30.747,2022-02-01 00:00:30.760048,call,38000,2022-02-25 08:00:00,628.6,0.0705,0.0695,6.0,61.66,0.071,9.7,63.13,0.06995782,62.11,BTC-25FEB22,38481.47,0.56305,6e-05,39.1424,-49.9513,12.64988
deribit,BTC-4FEB22-38000-C,2022-02-01 00:00:33.039,2022-02-01 00:00:33.043388,call,38000,2022-02-04 08:00:00,681.6,0.0315,0.0275,12.1,56.52,0.0295,12.0,61.91,0.02907516,60.77,BTC-4FEB22,38431.27,0.58838,0.00017,14.28917,-130.27771,1.96259
deribit,BTC-25FEB22-39000-P,2022-02-01 00:00:33.636,2022-02-01 00:00:33.639598,put,39000,2022-02-25 08:00:00,1.1,0.07,0.0695,27.0,60.27,0.0715,42.6,62.21,0.07078779,61.52,BTC-25FEB22,38474.98,-0.50236,7e-05,39.63045,-50.09715,-14.70073
deribit,BTC-18FEB22-38000-C,2022-02-01 00:00:42.830,2022-02-01 00:00:42.839267,call,38000,2022-02-18 08:00:00,48.9,0.061,0.0585,6.0,60.85,0.0605,20.6,63.17,0.05909153,61.53,SYN.BTC-18FEB22,38441.79,0.5609,8e-05,33.02934,-58.62794,9.16041
deribit,BTC-11FEB22-38000-C,2022-02-01 00:00:46.480,2022-02-01 00:00:46.483055,call,38000,2022-02-11 08:00:00,303.4,0.049,0.0465,6.0,61.3,0.0475,7.0,62.81,0.04649992,61.31,BTC-11FEB22,38412.52,0.56208,0.0001,25.47068,-75.56359,5.6064
deribit,BTC-11FEB22-39000-P,2022-02-01 00:00:46.493,2022-02-01 00:00:46.500192,put,39000,2022-02-11 08:00:00,4.5,0.05,0.0475,38.0,58.25,0.0495,18.0,61.24,0.04894034,60.4,BTC-11FEB22,38412.52,-0.53925,0.0001,25.65865,-74.99908,-6.39593
deribit,BTC-11FEB22-38000-C,2022-02-01 00:00:46.505,2022-02-01 00:00:46.509056,call,38000,2022-02-11 08:00:00,303.4,0.049,0.046,6.0,60.55,0.0475,6.0,62.81,0.04649992,61.31,BTC-11FEB22,38412.52,0.56208,0.0001,25.47068,-75.56359,5.6064
deribit,BTC-11FEB22-39000-P,2022-02-01 00:01:01.019,2022-02-01 00:01:01.025281,put,39000,2022-02-11 08:00:00,4.5,0.05,0.048,26.0,58.91,0.0495,6.0,61.15,0.04899939,60.4,BTC-11FEB22,38408.57,-0.53965,0.0001,25.65344,-74.98402,-6.4003
deribit,BTC-25FEB22-39000-P,2022-02-01 00:01:01.545,2022-02-01 00:01:01.553850,put,39000,2022-02-25 08:00:00,1.1,0.07,0.07,6.0,60.45,0.072,42.6,62.39,0.07113398,61.55,BTC-25FEB22,38453.61,-0.50372,7e-05,39.60741,-50.09048,-14.73647
deribit,BTC-4FEB22-38000-C,2022-02-01 00:01:05.009,2022-02-01 00:01:05.017463,call,38000,2022-02-04 08:00:00,681.6,0.0315,0.0275,12.1,57.61,0.029,12.0,61.64,0.02864918,60.7,BTC-4FEB22,38403.66,0.58363,0.00018,14.31679,-130.37715,1.94601
deribit,BTC-18FEB22-38000-C,2022-02-01 00:01:12.848,2022-02-01 00:01:12.854254,call,38000,2022-02-18 08:00:00,48.9,0.061,0.0585,6.0,61.16,0.06,12.0,62.91,0.05881807,61.53,SYN.BTC-18FEB22,38420.92,0.5593,8e-05,33.03163,-58.63037,9.13129
deribit,BTC-25FEB22-38000-C,2022-02-01 00:01:12.856,2022-02-01 00:01:12.861773,call,38000,2022-02-25 08:00:00,628.6,0.0705,0.0695,6.1,62.05,0.0705,9.6,63.03,0.06962048,62.16,BTC-25FEB22,38450.61,0.56108,6e-05,39.14099,-49.99688,12.59755
deribit,BTC-25FEB22-38000-C,2022-02-01 00:01:13.572,2022-02-01 00:01:13.580728,call,38000,2022-02-25 08:00:00,628.6,0.0705,0.069,9.4,61.56,0.0705,9.7,63.03,0.06962048,62.16,BTC-25FEB22,38450.61,0.56108,6e-05,39.14099,-49.99688,12.59755
deribit,BTC-4FEB22-38000-C,2022-02-01 00:01:13.620,2022-02-01 00:01:13.623425,call,38000,2022-02-04 08:00:00,681.6,0.0315,0.027,14.9,56.56,0.029,12.1,61.92,0.02853592,60.68,BTC-4FEB22,38396.31,0.58236,0.00018,14.32382,-130.40172,1.94158
deribit,BTC-11FEB22-38000-C,2022-02-01 00:01:14.607,2022-02-01 00:01:14.617586,call,38000,2022-02-11 08:00:00,303.4,0.049,0.0455,22.1,60.34,0.0475,23.0,63.36,0.04624532,61.37,BTC-11FEB22,38385.2,0.55934,0.0001,25.47958,-75.66594,5.5762
deribit,BTC-11FEB22-39000-P,2022-02-01 00:01:18.634,2022-02-01 00:01:18.640159,put,39000,2022-02-11 08:00:00,4.5,0.05,0.048,38.0,58.26,0.05,22.8,61.26,0.04943651,60.41,BTC-11FEB22,38380.67,-0.54247,0.0001,25.616,-74.88515,-6.43107
deribit,BTC-25FEB22-39000-P,2022-02-01 00:01:24.676,2022-02-01 00:01:24.680045,put,39000,2022-02-25 08:00:00,1.1,0.07,0.0705,6.0,60.82,0.072,15.6,62.28,0.07125724,61.56,BTC-25FEB22,38446.2,-0.50419,7e-05,39.59932,-50.09195,-14.74884
deribit,BTC-4FEB22-38000-C,2022-02-01 00:01:51.078,2022-02-01 00:01:51.081980,call,38000,2022-02-04 08:00:00,681.6,0.0315,0.027,19.9,56.83,0.0295,12.1,63.53,0.02842051,60.59,BTC-4FEB22,38389.45,0.58124,0.00018,14.32822,-130.28439,1.93738
deribit,BTC-18FEB22-38000-C,2022-02-01 00:01:52.838,2022-02-01 00:01:52.841427,call,38000,2022-02-18 08:00:00,48.9,0.061,0.058,9.9,60.54,0.06,23.0,62.86,0.05892203,61.61,SYN.BTC-18FEB22,38424.06,0.55953,8e-05,33.03075,-58.70587,9.13396
deribit,BTC-11FEB22-39000-P,2022-02-01 00:01:53.077,2022-02-01 00:01:53.087000,put,39000,2022-02-11 08:00:00,4.5,0.05,0.0485,26.0,58.97,0.0495,6.0,60.47,0.04928528,60.4,BTC-11FEB22,38378.89,-0.54268,0.0001,25.61253,-74.86065,-6.43274
deribit,BTC-11FEB22-38000-C,2022-02-01 00:01:53.108,2022-02-01 00:01:53.116227,call,38000,2022-02-11 08:00:00,303.4,0.049,0.0455,10.1,60.26,0.047,12.0,62.52,0.04621022,61.33,BTC-11FEB22,38389.69,0.5598,0.0001,25.47726,-75.61488,5.58112
deribit,BTC-11FEB22-39000-P,2022-02-01 00:01:53.112,2022-02-01 00:01:53.121667,put,39000,2022-02-11 08:00:00,4.5,0.05,0.0485,26.0,58.97,0.05,10.8,61.22,0.04928528,60.4,BTC-11FEB22,38378.89,-0.54268,0.0001,25.61253,-74.86065,-6.43274
deribit,BTC-25FEB22-39000-P,2022-02-01 00:01:53.361,2022-02-01 00:01:53.364918,put,39000,2022-02-25 08:00:00,1.1,0.07,0.07,33.0,60.36,0.0725,46.6,62.79,0.07108173,61.57,BTC-25FEB22,38447.87,-0.50407,7e-05,39.6006,-50.10411,-14.74561
deribit,BTC-4FEB22-38000-C,2022-02-01 00:01:53.501,2022-02-01 00:01:53.539836,call,38000,2022-02-04 08:00:00,681.6,0.0315,0.0265,15.7,55.19,0.029,22.1,61.9,0.02850109,60.59,BTC-4FEB22,38396.95,0.58256,0.00018,14.321,-130.21036,1.94202
deribit,BTC-4FEB22-38000-C,2022-02-01 00:01:53.987,2022-02-01 00:01:53.992687,call,38000,2022-02-04 08:00:00,681.6,0.0315,0.0265,15.7,55.65,0.0285,12.0,61.01,0.02851149,60.59,BTC-4FEB22,38385.37,0.58053,0.00018,14.33207,-130.31855,1.93487
