exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC-10DEC21-56000-C,2021-11-30 23:59:59.559,2021-12-01 00:00:00.115884,call,56000,2021-12-10 08:00:00,92.1,0.06,0.057,17.5,73.29,0.0595,16.7,77.31,0.0587903,76.17,BTC-10DEC21,57148.69,0.59002,6e-05,35.52544,-144.96401,7.76309
deribit,BTC-17DEC21-56000-C,2021-11-30 23:59:59.572,2021-12-01 00:00:00.119046,call,56000,2021-12-17 08:00:00,55.7,0.0765,0.0745,8.5,75.53,0.0765,12.2,77.95,0.07595122,77.29,SYN.BTC-17DEC21,57250.9,0.58585,4e-05,47.19222,-111.65367,13.06305
deribit,BTC-3DEC21-57000-C,2021-11-30 23:59:59.685,2021-12-01 00:00:00.269530,call,57000,2021-12-03 08:00:00,286.6,0.027,0.022,18.5,68.32,0.0235,1.3,73.02,0.02285808,71.49,BTC-3DEC21,57024.6,0.51441,0.00012,18.17736,-278.46,1.79135
deribit,BTC-17DEC21-58000-C,2021-11-30 23:59:59.800,2021-12-01 00:00:00.399356,call,58000,2021-12-17 08:00:00,78.0,0.0605,0.0575,11.0,75.16,0.0595,17.5,77.53,0.0583031,76.12,SYN.BTC-17DEC21,57257.21,0.50018,4e-05,48.32047,-112.59013,11.32181
deribit,BTC-10DEC21-57000-C,2021-11-30 23:59:59.802,2021-12-01 00:00:00.399381,call,57000,2021-12-10 08:00:00,108.9,0.049,0.048,17.7,73.18,0.05,10.3,76.33,0.04929706,75.22,BTC-10DEC21,57159.17,0.5332,6e-05,36.33794,-146.42436,7.07283
deribit,BTC-1DEC21-57000-P,2021-11-30 23:59:59.821,2021-12-01 00:00:00.458468,put,57000,2021-12-01 08:00:00,134.3,0.008,0.008,13.4,63.97,0.0095,8.9,76.41,0.00897284,72.03,SYN.BTC-1DEC21,56967.78,-0.50602,0.00032,6.86725,-247.31179,-0.26793
deribit,BTC-17DEC21-58000-P,2021-11-30 23:59:59.844,2021-12-01 00:00:00.450482,put,58000,2021-12-17 08:00:00,25.9,0.067,0.071,10.1,75.79,0.073,24.5,78.16,0.07127596,76.12,SYN.BTC-17DEC21,57257.21,-0.49982,4e-05,48.32047,-112.59013,-14.63252
deribit,BTC-1DEC21-57000-P,2021-11-30 23:59:59.845,2021-12-01 00:00:00.460284,put,57000,2021-12-01 08:00:00,134.3,0.008,0.008,13.4,63.97,0.009,2.5,72.26,0.00897284,72.03,SYN.BTC-1DEC21,56967.78,-0.50602,0.00032,6.86725,-247.31179,-0.26793
deribit,BTC-2DEC21-57000-P,2021-11-30 23:59:59.888,2021-12-01 00:00:00.498477,put,57000,2021-12-02 08:00:00,53.8,0.018,0.0165,4.1,68.1,0.0175,7.3,72.25,0.01690543,69.78,SYN.BTC-2DEC21,56990.99,-0.49308,0.00017,13.73959,-359.54007,-1.06173
deribit,BTC-3DEC21-57000-P,2021-11-30 23:59:59.904,2021-12-01 00:00:00.538796,put,57000,2021-12-03 08:00:00,377.9,0.0205,0.0225,1.2,70.91,0.0235,3.1,74.04,0.02268654,71.49,BTC-3DEC21,57012.79,-0.48703,0.00012,18.17586,-278.43695,-1.85775
deribit,BTC-10DEC21-57000-P,2021-11-30 23:59:59.927,2021-12-01 00:00:00.538732,put,57000,2021-12-10 08:00:00,56.1,0.045,0.0465,2.3,75.2,0.048,12.2,77.56,0.04651238,75.22,BTC-10DEC21,57159.17,-0.4668,6e-05,36.33794,-146.42436,-7.50251
deribit,BTC-31DEC21-60000-P,2021-11-30 23:59:59.933,2021-12-01 00:00:00.560443,put,60000,2021-12-31 08:00:00,2479.5,0.1135,0.116,10.6,78.88,0.118,3.0,80.62,0.11684127,79.61,BTC-31DEC21,57485.53,-0.52861,3e-05,65.94223,-86.53819,-30.8354
deribit,BTC-2DEC21-57000-C,2021-12-01 00:00:00.051,2021-12-01 00:00:00.684140,call,57000,2021-12-02 08:00:00,34.8,0.02,0.0155,20.1,64.61,0.017,1.5,70.83,0.01674729,69.78,SYN.BTC-2DEC21,56990.99,0.50692,0.00017,13.73959,-359.54007,1.02047
deribit,BTC-10DEC21-58000-P,2021-12-01 00:00:00.163,2021-12-01 00:00:00.797291,put,58000,2021-12-10 08:00:00,60.7,0.054,0.0555,2.9,74.21,0.057,12.3,76.57,0.05564022,74.44,BTC-10DEC21,57147.36,-0.52588,6e-05,36.38006,-145.07059,-8.49772
deribit,BTC-10DEC21-57000-P,2021-12-01 00:00:00.164,2021-12-01 00:00:00.797297,put,57000,2021-12-10 08:00:00,56.1,0.045,0.046,6.6,74.42,0.048,12.2,77.56,0.04651238,75.22,BTC-10DEC21,57159.17,-0.4668,6e-05,36.33794,-146.42436,-7.50251
deribit,BTC-10DEC21-58000-P,2021-12-01 00:00:00.226,2021-12-01 00:00:00.876359,put,58000,2021-12-10 08:00:00,60.7,0.054,0.0555,2.9,74.21,0.0565,3.0,75.78,0.05564022,74.44,BTC-10DEC21,57147.36,-0.52588,6e-05,36.38006,-145.07059,-8.49772
deribit,BTC-10DEC21-58000-P,2021-12-01 00:00:00.381,2021-12-01 00:00:01.028391,put,58000,2021-12-10 08:00:00,60.7,0.054,0.055,10.6,73.43,0.0565,3.0,75.78,0.05564022,74.44,BTC-10DEC21,57147.36,-0.52588,6e-05,36.38006,-145.07059,-8.49772
deribit,BTC-3DEC21-57000-C,2021-12-01 00:00:00.540,2021-12-01 00:00:01.197829,call,57000,2021-12-03 08:00:00,286.6,0.027,0.022,26.6,68.32,0.024,8.5,74.59,0.02301252,71.49,BTC-3DEC21,57024.6,0.51441,0.00012,18.17736,-278.47534,1.79135
