exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC-1JUL21-35000-C,2021-07-01 00:00:02.998,2021-07-01 00:00:03.004189,call,35000,2021-07-01 08:00:00,102.7,0.013,0.012,10.9,93.42,0.0135,16.7,105.89,0.0125939,98.36,SYN.BTC-1JUL21,35051.2,0.52553,0.00038,4.21711,-207.39266,0.16419
deribit,BTC-30JUL21-35000-C,2021-07-01 00:00:03.021,2021-07-01 00:00:03.051687,call,35000,2021-07-30 08:00:00,489.5,0.106,0.103,30.3,92.2,0.1055,25.3,94.43,0.10406396,93.15,BTC-30JUL21,34923.29,0.54923,4e-05,39.19543,-62.23384,12.49424
deribit,BTC-2JUL21-35000-C,2021-07-01 00:00:03.044,2021-07-01 00:00:03.067889,call,35000,2021-07-02 08:00:00,728.1,0.0195,0.023,10.9,94.06,0.0245,17.1,100.29,0.02329983,95.31,BTC-2JUL21,35023.0,0.51604,0.0002,8.43792,-301.58596,0.6304
deribit,BTC-16JUL21-34000-C,2021-07-01 00:00:04.207,2021-07-01 00:00:04.224629,call,34000,2021-07-16 08:00:00,114.7,0.0865,0.089,10.9,92.4,0.0915,26.9,95.55,0.09109068,95.06,SYN.BTC-16JUL21,34964.33,0.59521,6e-05,27.77147,-86.08733,7.40427
deribit,BTC-9JUL21-35000-C,2021-07-01 00:00:04.210,2021-07-01 00:00:04.237237,call,35000,2021-07-09 08:00:00,316.4,0.0545,0.0545,10.9,90.81,0.056,24.7,93.31,0.0553468,92.25,BTC-9JUL21,34985.31,0.52658,8e-05,21.0423,-116.46517,3.76386
deribit,BTC-30JUL21-35000-C,2021-07-01 00:00:05.289,2021-07-01 00:00:05.322716,call,35000,2021-07-30 08:00:00,489.5,0.106,0.1035,6.3,92.62,0.1055,22.3,94.4,0.10410871,93.15,BTC-30JUL21,34926.09,0.54935,4e-05,39.19709,-62.23709,12.4976
deribit,BTC-30JUL21-36000-C,2021-07-01 00:00:09.305,2021-07-01 00:00:09.331954,call,36000,2021-07-30 08:00:00,627.6,0.0915,0.09,6.3,91.38,0.092,26.9,93.15,0.09085813,92.15,BTC-30JUL21,34927.49,0.50592,4e-05,39.49698,-62.0384,11.6504
deribit,BTC-16JUL21-34000-C,2021-07-01 00:00:12.907,2021-07-01 00:00:12.920896,call,34000,2021-07-16 08:00:00,114.7,0.0865,0.089,11.0,92.35,0.091,19.0,94.87,0.09117306,95.06,SYN.BTC-16JUL21,34967.07,0.59536,6e-05,27.77095,-86.08561,7.40656
deribit,BTC-30JUL21-36000-C,2021-07-01 00:00:13.635,2021-07-01 00:00:13.655314,call,36000,2021-07-30 08:00:00,627.6,0.0915,0.0895,32.3,91.03,0.092,26.9,93.24,0.09080263,92.15,BTC-30JUL21,34919.58,0.50557,4e-05,39.48853,-62.02582,11.64069
deribit,BTC-1JUL21-35000-C,2021-07-01 00:00:15.017,2021-07-01 00:00:15.032197,call,35000,2021-07-01 08:00:00,102.7,0.013,0.012,7.9,93.2,0.013,15.0,101.51,0.01262253,98.37,SYN.BTC-1JUL21,35053.04,0.52623,0.00038,4.21685,-207.41025,0.16442
deribit,BTC-1JUL21-35000-C,2021-07-01 00:00:15.743,2021-07-01 00:00:15.751190,call,35000,2021-07-01 08:00:00,102.7,0.013,0.0115,11.0,88.69,0.013,15.0,101.16,0.01262253,98.37,SYN.BTC-1JUL21,35055.9,0.52732,0.00038,4.21642,-207.39342,0.16477
deribit,BTC-2JUL21-35000-C,2021-07-01 00:00:16.860,2021-07-01 00:00:16.879786,call,35000,2021-07-02 08:00:00,728.1,0.0195,0.023,3.0,94.2,0.024,17.0,98.35,0.02328342,95.31,BTC-2JUL21,35020.72,0.51559,0.0002,8.43775,-301.58169,0.62982
