exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC-12NOV21-62000-P,2021-11-01 00:00:00.647,2021-11-01 00:00:00.657724,put,62000,2021-11-12 08:00:00,93.7,0.0585,0.0575,17.4,77.34,0.0595,21.0,80.18,0.05890813,79.34,BTC-12NOV21,61634.66,-0.48898,5e-05,43.31136,-151.59311,-10.48528
deribit,BTC-26NOV21-64000-P,2021-11-01 00:00:00.648,2021-11-01 00:00:00.663588,put,64000,2021-11-26 08:00:00,47.5,0.109,0.1025,5.8,79.89,0.1045,7.4,81.8,0.10343283,80.78,BTC-26NOV21,61975.9,-0.51778,3e-05,65.073,-103.75282,-26.72186
deribit,BTC-26NOV21-65000-P,2021-11-01 00:00:01.216,2021-11-01 00:00:01.226508,put,65000,2021-11-26 08:00:00,77.4,0.1,0.1125,5.1,79.95,0.115,5.5,82.35,0.11354551,80.95,BTC-26NOV21,61975.9,-0.54647,3e-05,64.69536,-103.36915,-28.39066
deribit,BTC-26NOV21-62000-P,2021-11-01 00:00:01.263,2021-11-01 00:00:01.269694,put,62000,2021-11-26 08:00:00,130.9,0.0845,0.084,0.3,79.88,0.086,11.5,81.8,0.08462746,80.48,BTC-26NOV21,61977.54,-0.45846,3e-05,64.78605,-102.91214,-23.36178
deribit,BTC-5NOV21-61000-C,2021-11-01 00:00:01.658,2021-11-01 00:00:01.673604,call,61000,2021-11-05 08:00:00,204.0,0.04,0.0365,5.7,75.91,0.0385,35.5,80.55,0.03725773,77.66,BTC-5NOV21,61430.98,0.54994,8e-05,26.49363,-237.4164,3.7391
deribit,BTC-19NOV21-64000-P,2021-11-01 00:00:02.663,2021-11-01 00:00:02.677813,put,64000,2021-11-19 08:00:00,23.2,0.086,0.0315,13.1,,0.1925,14.5,192.91,0.092705,81.01,SYN.BTC-19NOV21,61805.1,-0.5404,4e-05,54.97618,-121.46207,-19.65437
deribit,BTC-19NOV21-62000-P,2021-11-01 00:00:03.018,2021-11-01 00:00:03.026745,put,62000,2021-11-19 08:00:00,32.2,0.072,0.072,2.8,78.73,0.074,10.0,80.97,0.07385526,80.81,SYN.BTC-19NOV21,61805.1,-0.47084,4e-05,55.11199,-121.46253,-16.90918
deribit,BTC-26NOV21-62000-C,2021-11-01 00:00:03.035,2021-11-01 00:00:03.090211,call,62000,2021-11-26 08:00:00,317.3,0.0815,0.0835,32.2,79.75,0.085,6.8,81.18,0.08426812,80.48,BTC-26NOV21,61977.88,0.54155,3e-05,64.78623,-102.91243,19.67063
deribit,BTC-5NOV21-62000-P,2021-11-01 00:00:03.088,2021-11-01 00:00:03.097208,put,62000,2021-11-05 08:00:00,310.2,0.038,0.037,11.3,73.66,0.039,11.7,78.27,0.03845206,77.01,BTC-5NOV21,61431.13,-0.52707,8e-05,26.6417,-236.72388,-4.12445
deribit,BTC-12NOV21-61000-C,2021-11-01 00:00:03.090,2021-11-01 00:00:03.099679,call,61000,2021-11-12 08:00:00,34.8,0.057,0.0605,16.6,78.96,0.062,26.5,81.11,0.06105273,79.75,BTC-12NOV21,61637.73,0.55736,5e-05,42.88143,-150.87467,9.49861
deribit,BTC-19NOV21-62000-C,2021-11-01 00:00:03.668,2021-11-01 00:00:03.700841,call,62000,2021-11-19 08:00:00,109.9,0.0705,0.07,9.0,80.0,0.0715,10.3,81.68,0.07070188,80.81,SYN.BTC-19NOV21,61807.76,0.52926,4e-05,55.1134,-121.46595,14.2353
deribit,BTC-12NOV21-63000-P,2021-11-01 00:00:04.680,2021-11-01 00:00:04.705447,put,63000,2021-11-12 08:00:00,3.3,0.065,0.034,16.4,29.81,0.079,14.0,94.96,0.06809004,79.36,BTC-12NOV21,61641.38,-0.53426,5e-05,43.1727,-151.15052,-11.52828
deribit,BTC-12NOV21-62000-C,2021-11-01 00:00:04.680,2021-11-01 00:00:04.697857,call,62000,2021-11-12 08:00:00,374.8,0.053,0.0525,15.6,78.58,0.054,39.5,80.71,0.05300675,79.34,BTC-12NOV21,61641.99,0.51136,5e-05,43.31546,-151.6188,8.77234
deribit,BTC-2NOV21-61000-C,2021-11-01 00:00:05.688,2021-11-01 00:00:05.708765,call,61000,2021-11-02 08:00:00,32.0,0.022,0.021,9.1,73.76,0.0225,4.4,80.06,0.02161635,76.33,SYN.BTC-2NOV21,61380.37,0.5627,0.00014,14.61688,-418.38915,1.21323
deribit,BTC-26NOV21-62000-P,2021-11-01 00:00:16.598,2021-11-01 00:00:16.603762,put,62000,2021-11-26 08:00:00,130.9,0.0845,0.0835,12.4,79.42,0.086,12.8,81.81,0.08461268,80.48,BTC-26NOV21,61979.66,-0.4584,3e-05,64.78719,-102.91184,-23.35899
deribit,BTC-12NOV21-61000-C,2021-11-01 00:00:18.579,2021-11-01 00:00:18.583585,call,61000,2021-11-12 08:00:00,34.8,0.057,0.0605,16.6,78.8,0.0625,24.2,81.68,0.06116795,79.76,BTC-12NOV21,61650.93,0.55796,5e-05,42.88114,-150.89783,9.50994
deribit,BTC-19NOV21-62000-C,2021-11-01 00:00:19.987,2021-11-01 00:00:19.990893,call,62000,2021-11-19 08:00:00,109.9,0.0705,0.0705,9.0,80.46,0.0715,3.1,81.58,0.07081036,80.81,SYN.BTC-19NOV21,61819.77,0.52969,4e-05,55.11974,-121.47969,14.24856
deribit,BTC-26NOV21-62000-C,2021-11-01 00:00:23.315,2021-11-01 00:00:23.320673,call,62000,2021-11-26 08:00:00,317.3,0.0815,0.0835,32.5,79.66,0.0855,25.1,81.58,0.08436086,80.48,BTC-26NOV21,61989.86,0.54191,3e-05,64.7926,-102.91711,19.68628
deribit,BTC-26NOV21-65000-P,2021-11-01 00:00:24.905,2021-11-01 00:00:24.922773,put,65000,2021-11-26 08:00:00,77.4,0.1,0.113,0.3,80.57,0.115,5.5,82.49,0.11339593,80.95,BTC-26NOV21,61989.59,-0.54606,3e-05,64.71733,-103.39963,-28.3731
deribit,BTC-26NOV21-64000-P,2021-11-01 00:00:29.341,2021-11-01 00:00:29.349798,put,64000,2021-11-26 08:00:00,47.5,0.109,0.103,0.3,80.36,0.1045,7.4,81.79,0.10343974,80.78,BTC-26NOV21,61974.7,-0.51783,3e-05,65.07142,-103.74201,-26.72348
deribit,BTC-5NOV21-61000-P,2021-11-01 00:00:30.133,2021-11-01 00:00:30.137342,put,61000,2021-11-05 08:00:00,269.5,0.0345,0.029,27.4,74.75,0.031,41.6,79.38,0.03026379,77.69,BTC-5NOV21,61428.58,-0.45025,8e-05,26.49418,-237.50451,-3.50437
deribit,BTC-5NOV21-61000-C,2021-11-01 00:00:33.118,2021-11-01 00:00:33.123921,call,61000,2021-11-05 08:00:00,204.0,0.04,0.0365,5.7,76.03,0.038,16.0,79.51,0.03722072,77.7,BTC-5NOV21,61425.35,0.54951,8e-05,26.49272,-237.55424,3.73524
deribit,BTC-26NOV21-64000-P,2021-11-01 00:01:08.826,2021-11-01 00:01:08.834333,put,64000,2021-11-26 08:00:00,47.5,0.109,0.102,5.4,79.46,0.1045,7.4,81.84,0.1033339,80.78,BTC-26NOV21,61980.6,-0.51765,3e-05,65.07802,-103.75732,-26.71508
deribit,BTC-12NOV21-62000-P,2021-11-01 00:01:33.942,2021-11-01 00:01:33.950003,put,62000,2021-11-12 08:00:00,93.7,0.0585,0.058,1.0,78.22,0.0595,18.3,80.35,0.05881428,79.4,BTC-12NOV21,61647.52,-0.48835,5e-05,43.3158,-151.75137,-10.47277
deribit,BTC-2NOV21-61000-C,2021-11-01 00:01:38.076,2021-11-01 00:01:38.081783,call,61000,2021-11-02 08:00:00,32.0,0.022,0.0205,14.9,72.11,0.0225,4.4,80.5,0.02154836,76.51,SYN.BTC-2NOV21,61369.5,0.56111,0.00014,14.61585,-419.76287,1.20833
deribit,BTC-12NOV21-62000-P,2021-11-01 00:02:12.379,2021-11-01 00:02:12.384815,put,62000,2021-11-12 08:00:00,93.7,0.0585,0.0585,2.0,79.0,0.0595,8.7,80.42,0.05878052,79.4,BTC-12NOV21,61653.03,-0.4881,5e-05,43.31886,-151.75459,-10.46788
deribit,BTC-26NOV21-65000-P,2021-11-01 00:02:12.434,2021-11-01 00:02:12.439630,put,65000,2021-11-26 08:00:00,77.4,0.1,0.113,0.3,80.4,0.1155,5.5,82.79,0.1135811,80.96,BTC-26NOV21,61972.45,-0.54657,3e-05,64.68797,-103.36425,-28.39358
deribit,BTC-12NOV21-61000-C,2021-11-01 00:02:12.721,2021-11-01 00:02:12.730534,call,61000,2021-11-12 08:00:00,34.8,0.057,0.0605,7.6,78.79,0.0615,16.0,80.23,0.06119245,79.79,BTC-12NOV21,61652.11,0.55801,5e-05,42.87849,-150.96297,9.50947
deribit,BTC-12NOV21-61000-C,2021-11-01 00:02:12.782,2021-11-01 00:02:12.792641,call,61000,2021-11-12 08:00:00,34.8,0.057,0.06,15.6,78.08,0.0615,16.0,80.23,0.06119245,79.79,BTC-12NOV21,61652.11,0.55801,5e-05,42.87849,-150.96297,9.50947
deribit,BTC-12NOV21-62000-C,2021-11-01 00:02:12.871,2021-11-01 00:02:12.877028,call,62000,2021-11-12 08:00:00,374.8,0.053,0.052,20.2,77.85,0.054,37.9,80.69,0.05314388,79.4,BTC-12NOV21,61644.23,0.51149,5e-05,43.31397,-151.73713,8.77311
deribit,BTC-12NOV21-62000-C,2021-11-01 00:02:13.235,2021-11-01 00:02:13.247752,call,62000,2021-11-12 08:00:00,374.8,0.053,0.052,20.2,77.84,0.0535,18.0,79.98,0.05308812,79.4,BTC-12NOV21,61644.96,0.51153,5e-05,43.31438,-151.74085,8.77376
deribit,BTC-5NOV21-62000-P,2021-11-01 00:02:18.158,2021-11-01 00:02:18.166858,put,62000,2021-11-05 08:00:00,310.2,0.038,0.037,19.5,73.13,0.0395,10.4,78.9,0.03871533,77.09,BTC-5NOV21,61405.96,-0.52896,8e-05,26.61765,-236.84038,-4.1371
deribit,BTC-26NOV21-62000-P,2021-11-01 00:02:19.918,2021-11-01 00:02:19.924854,put,62000,2021-11-26 08:00:00,130.9,0.0845,0.0845,0.3,80.2,0.086,8.3,81.63,0.08479831,80.49,BTC-26NOV21,61957.96,-0.45905,3e-05,64.77378,-102.90466,-23.38599
deribit,BTC-12NOV21-62000-P,2021-11-01 00:02:28.013,2021-11-01 00:02:28.017214,put,62000,2021-11-12 08:00:00,93.7,0.0585,0.0585,2.0,78.9,0.06,7.8,81.03,0.05886269,79.41,BTC-12NOV21,61645.14,-0.48846,5e-05,43.31446,-151.76006,-10.4749
deribit,BTC-26NOV21-65000-P,2021-11-01 00:02:28.247,2021-11-01 00:02:28.256331,put,65000,2021-11-26 08:00:00,77.4,0.1,0.1135,0.3,80.58,0.115,0.3,82.02,0.11388625,80.95,BTC-26NOV21,61943.24,-0.54746,3e-05,64.64042,-103.28081,-28.43139
deribit,BTC-26NOV21-65000-P,2021-11-01 00:02:28.253,2021-11-01 00:02:28.262197,put,65000,2021-11-26 08:00:00,77.4,0.1,0.1135,0.3,80.58,0.1155,5.5,82.5,0.11388625,80.95,BTC-26NOV21,61943.24,-0.54746,3e-05,64.64042,-103.28081,-28.43139
deribit,BTC-1NOV21-61000-C,2021-11-01 00:02:28.683,2021-11-01 00:02:28.701562,call,61000,2021-11-01 08:00:00,49.8,0.013,0.0105,14.8,62.7,0.0125,5.7,79.91,0.01175841,73.51,SYN.BTC-1NOV21,61328.19,0.59991,0.00028,7.14568,-262.64112,0.32804
deribit,BTC-26NOV21-64000-P,2021-11-01 00:02:32.070,2021-11-01 00:02:32.078918,put,64000,2021-11-26 08:00:00,47.5,0.109,0.1035,0.3,80.42,0.1045,2.2,81.37,0.10385921,80.78,BTC-26NOV21,61930.79,-0.51915,3e-05,65.01264,-103.66667,-26.77831
deribit,BTC-26NOV21-62000-C,2021-11-01 00:02:33.997,2021-11-01 00:02:34.004778,call,62000,2021-11-26 08:00:00,317.3,0.0815,0.083,32.5,79.63,0.085,24.1,81.54,0.08392684,80.5,BTC-26NOV21,61927.8,0.54004,3e-05,64.75638,-102.89498,19.60367
deribit,BTC-12NOV21-62000-P,2021-11-01 00:02:38.966,2021-11-01 00:02:38.975024,put,62000,2021-11-12 08:00:00,93.7,0.0585,0.058,16.9,78.27,0.06,21.3,81.12,0.05878406,79.38,BTC-12NOV21,61651.8,-0.48817,5e-05,43.31688,-151.73446,-10.46829
deribit,BTC-12NOV21-61000-C,2021-11-01 00:02:39.152,2021-11-01 00:02:39.160834,call,61000,2021-11-12 08:00:00,34.8,0.057,0.06,15.6,78.08,0.062,23.0,80.95,0.06116383,79.76,BTC-12NOV21,61652.04,0.55801,5e-05,42.87716,-150.89965,9.50935
deribit,BTC-12NOV21-62000-C,2021-11-01 00:02:39.571,2021-11-01 00:02:39.578748,call,62000,2021-11-12 08:00:00,374.8,0.053,0.0525,9.0,78.49,0.0535,4.5,79.91,0.05313013,79.39,BTC-12NOV21,61651.52,0.51182,5e-05,43.31672,-151.73807,8.77906
deribit,BTC-26NOV21-64000-P,2021-11-01 00:02:41.318,2021-11-01 00:02:41.326815,put,64000,2021-11-26 08:00:00,47.5,0.109,0.103,0.3,79.98,0.105,12.4,81.89,0.10384484,80.79,BTC-26NOV21,61934.93,-0.51902,3e-05,65.01798,-103.67662,-26.77292
deribit,BTC-26NOV21-64000-P,2021-11-01 00:02:42.245,2021-11-01 00:02:42.251582,put,64000,2021-11-26 08:00:00,47.5,0.109,0.1035,0.3,80.39,0.105,9.3,81.81,0.10391957,80.79,BTC-26NOV21,61927.52,-0.51925,3e-05,65.00845,-103.6614,-26.78255
deribit,BTC-5NOV21-61000-C,2021-11-01 00:02:43.590,2021-11-01 00:02:43.595761,call,61000,2021-11-05 08:00:00,204.0,0.04,0.0365,5.6,76.33,0.0375,16.0,78.65,0.0371282,77.79,BTC-5NOV21,61410.22,0.54834,8e-05,26.49154,-237.89235,3.7253
deribit,BTC-26NOV21-62000-C,2021-11-01 00:02:43.593,2021-11-01 00:02:43.601747,call,62000,2021-11-26 08:00:00,317.3,0.0815,0.083,32.2,79.74,0.0845,17.0,81.18,0.0837974,80.51,BTC-26NOV21,61911.1,0.53954,3e-05,64.74708,-102.88895,19.58183
