exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC-15NOV19-9000-C,2019-10-31 23:51:49.981,2019-11-01 00:04:42.123645,call,9000,2019-11-15 08:00:00,0.1,0.058,0.059,12.0,63.33,0.071,12.0,78.82,0.06366819,69.36,SYN.BTC-15NOV19,9163.26,0.57907,0.00031,7.10052,-17.18436,1.85417
deribit,BTC-15NOV19-9250-P,2019-10-31 23:58:31.893,2019-11-01 00:00:00.490144,put,9250,2019-11-15 08:00:00,0.0,,,,,0.1275,5.0,157.03,0.05813003,68.95,SYN.BTC-15NOV19,9187.36,-0.49258,0.00032,7.26194,-17.46694,-1.98688
deribit,BTC-8NOV19-9250-P,2019-10-31 23:59:43.328,2019-11-01 00:00:02.021643,put,9250,2019-11-08 08:00:00,82.0,0.043,0.04,26.7,62.72,0.046,19.9,73.34,0.04394142,69.7,SYN.BTC-8NOV19,9172.35,-0.51433,0.00044,5.1834,-24.63316,-1.02881
deribit,BTC-8NOV19-9000-C,2019-10-31 23:59:43.385,2019-11-01 00:00:21.877111,call,9000,2019-11-08 08:00:00,90.1,0.046,0.046,24.9,64.23,0.0525,31.9,76.06,0.04894562,69.64,SYN.BTC-8NOV19,9170.02,0.59443,0.00043,5.03949,-23.92967,1.00494
deribit,BTC-15NOV19-9250-C,2019-10-31 23:59:43.668,2019-11-01 00:00:00.490151,call,9250,2019-11-15 08:00:00,0.0,,0.0455,13.0,61.6,0.055,0.1,73.62,0.0512674,68.89,SYN.BTC-15NOV19,9187.36,0.50738,0.00032,7.26196,-17.45267,1.64556
deribit,BTC-29NOV19-9000-C,2019-10-31 23:59:44.714,2019-11-01 00:00:00.426132,call,9000,2019-11-29 08:00:00,355.1,0.085,0.0875,36.1,68.46,0.0935,28.1,73.99,0.08978839,70.57,SYN.BTC-29NOV19,9218.18,0.58712,0.00021,10.0008,-12.45396,3.55871
deribit,BTC-29NOV19-9500-P,2019-10-31 23:59:47.803,2019-11-01 00:00:02.020254,put,9500,2019-11-29 08:00:00,111.4,0.0905,0.093,13.5,68.13,0.0995,23.5,73.98,0.09627501,71.08,SYN.BTC-29NOV19,9218.4,-0.5211,0.00022,10.23198,-12.8345,-4.41786
deribit,BTC-8NOV19-9250-P,2019-11-01 00:00:04.332,2019-11-01 00:00:04.344596,put,9250,2019-11-08 08:00:00,82.0,0.043,0.04,26.7,62.84,0.044,0.2,69.92,0.04382119,69.65,SYN.BTC-8NOV19,9173.45,-0.51389,0.00044,5.18423,-24.61843,-1.02793
deribit,BTC-8NOV19-9250-P,2019-11-01 00:00:25.667,2019-11-01 00:00:25.709734,put,9250,2019-11-08 08:00:00,82.0,0.043,0.043,15.0,67.72,0.044,0.2,69.49,0.04406403,69.6,SYN.BTC-8NOV19,9169.41,-0.5157,0.00044,5.18107,-24.58661,-1.03124
deribit,BTC-29NOV19-9500-P,2019-11-01 00:00:32.203,2019-11-01 00:00:32.220052,put,9500,2019-11-29 08:00:00,111.4,0.0905,0.0935,13.0,68.33,0.0995,23.5,73.73,0.09652794,71.06,SYN.BTC-29NOV19,9214.23,-0.52205,0.00022,10.22592,-12.82309,-4.42431
